"","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","sampleid","tissueid","Cellosaurus.Disease.Type","Cellosaurus.Accession.id","PharmacoDB.id","unique.tissueid.fromstudies","CellLine.Type","Metastatic"
"2004",155823,"2004","collaborator","","","","2004","Kidney","Rhabdoid tumor of the kidney","CVCL_U759","2004_6_2019",NA,"Cancer cell line",NA
"22Rv1",7,"22RV1","ccle;public","prostate","carcinoma","","22Rv1","Prostate","Prostate carcinoma","CVCL_1045","22RV1_12_2019","prostate","Cancer cell line",NA
"23132/87",4,"2313287","ccle;public","stomach","carcinoma","adenocarcinoma","23132/87","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_1046","2313287_13_2019","stomach","Cancer cell line",NA
"253J",8,"253J","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","253J","Bladder/Urinary Tract","Bladder carcinoma","CVCL_7935","253J_14_2019","urinary_tract","Cancer cell line",TRUE
"253J-BV",9,"253JBV","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","253J-BV","Bladder/Urinary Tract","Bladder carcinoma","CVCL_7937","253JBV_15_2019","urinary_tract","Cancer cell line",TRUE
"42-MG-BA",10,"42MGBA","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","42-MG-BA","CNS/Brain","Glioblastoma","CVCL_1798","42MGBA_16_2019","central_nervous_system","Cancer cell line",NA
"5637",3,"5637","ccle;public","urinary_tract","carcinoma","","5637","Bladder/Urinary Tract","Bladder carcinoma","CVCL_0126","5637_20_2019","urinary_tract","Cancer cell line",NA
"639V",14,"639V","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","639V","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1048","639V_24_2019","urinary_tract","Cancer cell line",NA
"647V",15,"647V","ccle;public","urinary_tract","carcinoma","transitional_cell_carcinoma","647V","Bladder/Urinary Tract","Bladder carcinoma","CVCL_1049","647V_25_2019","urinary_tract","Cancer cell line",NA
"697",1,"697","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_B_cell_leukaemia","697","Lymphoid","B acute lymphoblastic leukemia with t(1 p13.3) E2A-PBX1 (TCF3-PBX1)","CVCL_0079","697_26_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"769-P",16,"769P","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","769-P","Kidney","Renal cell carcinoma","CVCL_1050","769P_27_2019","kidney","Cancer cell line",NA
"786-O",19,"786O","ccle;public","kidney","carcinoma","clear_cell_renal_cell_carcinoma","786-O","Kidney","Renal cell carcinoma","CVCL_1051","7860_28_2019","kidney","Cancer cell line",NA
"8-MG-BA",22,"8MGBA","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","8-MG-BA","CNS/Brain","Glioblastoma","CVCL_1052","8MGBA_29_2019","central_nervous_system","Cancer cell line",NA
"8305C",20,"8305C","ccle;public","thyroid","carcinoma","anaplastic_carcinoma","8305C","Thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","CVCL_1053","8305C_30_2019","thyroid","Cancer cell line",NA
"8505C",21,"8505C","ccle;public","thyroid","carcinoma","anaplastic_carcinoma","8505C","Thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","CVCL_1054","8505C_31_2019","thyroid","Cancer cell line",NA
"A-172",25,"A172","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","A-172","CNS/Brain","Glioblastoma","CVCL_0131","A172_36_2019","central_nervous_system","Cancer cell line",NA
"A-204",26,"A204","ccle;public","soft_tissue","rhabdoid_tumor","","A-204","Soft Tissue","Embryonal rhabdomyosarcoma","CVCL_1058","A204_37_2019","soft_tissue","Cancer cell line",NA
"A-253",28,"A253","ccle;public","salivary_gland","carcinoma","mucoepidermoid_carcinoma","A-253","Head and Neck","Salivary gland squamous cell carcinoma","CVCL_1060","A253_39_2019","skin","Cancer cell line",NA
"A-375",30,"A375","ccle;public","skin","malignant_melanoma","","A-375","Skin","Amelanotic melanoma","CVCL_0132","A375_42_2019","skin","Cancer cell line",NA
"A-498",33,"A498","ccle;public","kidney","carcinoma","renal_cell_carcinoma","A-498","Kidney","Renal cell carcinoma","CVCL_1056","A498_47_2019","kidney","Cancer cell line",NA
"A-549",35,"A549","ccle;public","lung","carcinoma","non_small_cell_carcinoma","A-549","Lung","Lung adenocarcinoma","CVCL_0023","A549_48_2019","lung","Cancer cell line",NA
"A-673",37,"A673","ccle;public","bone","Ewings_sarcoma_peripheral_primitive_neuroectodermal_tumor","","A-673","Bone","Ewing sarcoma","CVCL_0080","A673_49_2019","bone","Cancer cell line",NA
"A101D",23,"A101D","ccle;public","skin","malignant_melanoma","","A101D","Skin","Melanoma","CVCL_1057","A101D_34_2019","skin","Cancer cell line",NA
"A2058",27,"A2058","ccle;public","skin","malignant_melanoma","","A2058","Skin","Amelanotic melanoma","CVCL_1059","A2058_38_2019","skin","Cancer cell line",TRUE
"A2780",29,"A2780","ccle;public","ovary","carcinoma","adenocarcinoma","A2780","Ovary/Fallopian Tube","Ovarian endometrioid adenocarcinoma","CVCL_0134","A2780_40_2019","ovary","Cancer cell line",NA
"A3/Kawakami",31,"A3KAW","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma","A3/Kawakami","Lymphoid","Diffuse large B-cell lymphoma","CVCL_1062","A3KAW_41_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"A4/Fukuda",34,"A4FUK","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","diffuse_large_B_cell_lymphoma","A4/Fukuda","Lymphoid","B acute lymphoblastic leukemia","CVCL_1064","A4Fuk_44_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"ACC-MESO-1",41,"ACCMESO1","ccle;public","pleura","mesothelioma","","ACC-MESO-1","Pleura","Pleural epithelioid mesothelioma","CVCL_5113","ACCMESO1_52_2019","pleura","Cancer cell line",NA
"ACHN",43,"ACHN","ccle;public","kidney","carcinoma","renal_cell_carcinoma","ACHN","Kidney","Papillary renal cell carcinoma","CVCL_1067","ACHN_54_2019","kidney","Cancer cell line",TRUE
"AGS",44,"AGS","ccle;public","stomach","carcinoma","adenocarcinoma","AGS","Esophagus/Stomach","Gastric adenocarcinoma","CVCL_0139","AGS_56_2019","stomach","Cancer cell line",NA
"ALL-SIL",46,"ALLSIL","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","acute_lymphoblastic_T_cell_leukaemia","ALL-SIL","Lymphoid","Childhood T acute lymphoblastic leukemia","CVCL_1805","ALLSIL_59_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"AM-38",47,"AM38","ccle;public","central_nervous_system","glioma","astrocytoma_Grade_IV","AM-38","CNS/Brain","Glioblastoma","CVCL_1070","AM38_60_2019","central_nervous_system","Cancer cell line",NA
"AML-193",48,"AML193","ccle;public","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","acute_myeloid_leukaemia","AML-193","Myeloid","Childhood acute myeloid leukemia","CVCL_1071","AML193_61_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"AMO1",49,"AMO1","ccle;public","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","plasma_cell_myeloma","AMO1","Lymphoid","Plasma cell myeloma","CVCL_1806","AMO1_62_2019","haematopoietic_and_lymphoid_tissue","Cancer cell line",NA
"AN3-CA",50,"AN3CA","ccle;public","endometrium","carcinoma","adenocarcinoma","AN3-CA","Uterus","Endometrial adenocarcinoma","CVCL_0028","AN3CA_63_2019","endometrium","Cancer cell line",TRUE
